,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over,Average Housing Price,Standard Deviation of Housing Price
0,2017,CATHOLIC,ACADEMY OF MARY IMMACULATE,FITZROY,41,6,0,149,17,0,93,96,9,99.0,0.0,31.0,12.4,521.625,9.668731819633845
1,2016,CATHOLIC,ACADEMY OF MARY IMMACULATE,FITZROY,41,11,0,138,28,0,95,100,8,94.0,0.0,30.0,6.2,521.625,9.668731819633845
2,2017,GOVERNMENT,ALBERT PARK COLLEGE,ALBERT PARK,50,19,1,248,39,0,91,99,10,84.0,0.0,32.0,12.5,521.375,9.393315442377094
3,2016,GOVERNMENT,ALBERT PARK COLLEGE,ALBERT PARK,51,17,0,230,36,0,78,99,13,77.0,0.0,31.0,9.2,521.375,9.393315442377094
4,2017,CATHOLIC,AQUINAS COLLEGE,RINGWOOD,57,31,0,354,146,53,83,100,7,99.0,99.0,30.0,6.5,373.5,8.031189202104505
5,2017,GOVERNMENT,NORWOOD SECONDARY COLLEGE,RINGWOOD,40,23,0,242,101,31,74,98,2,92.0,98.0,28.0,3.3,373.5,8.031189202104505
6,2017,GOVERNMENT,RINGWOOD SECONDARY COLLEGE,RINGWOOD,76,34,0,351,112,49,89,97,11,80.0,86.0,29.0,6.2,373.5,8.031189202104505
7,2017,INDEPENDENT,YARRA VALLEY GRAMMAR SCHOOL,RINGWOOD,42,7,0,300,29,0,91,99,16,95.0,0.0,34.0,20.1,373.5,8.031189202104505
8,2016,CATHOLIC,AQUINAS COLLEGE,RINGWOOD,52,26,0,325,347,45,85,100,4,99.0,97.0,31.0,6.0,373.5,8.031189202104505
9,2016,GOVERNMENT,NORWOOD SECONDARY COLLEGE,RINGWOOD,45,24,0,233,95,35,73,100,5,96.0,96.0,29.0,4.9,373.5,8.031189202104505
10,2016,INDEPENDENT,YARRA VALLEY GRAMMAR SCHOOL,RINGWOOD,40,5,0,263,49,0,91,100,10,98.0,0.0,34.0,21.1,373.5,8.031189202104505
11,2017,INDEPENDENT,AUSTRALIAN INTERNATIONAL ACADEMY OF EDUCATION,COBURG,18,0,1,27,0,0,98,100,1,0.0,0.0,30.0,5.3,410.0,11.180339887498949
12,2017,CATHOLIC,MERCY COLLEGE,COBURG,34,13,0,126,27,12,96,98,1,99.0,100.0,29.0,4.0,410.0,11.180339887498949
13,2016,INDEPENDENT,AUSTRALIAN INTERNATIONAL ACADEMY OF EDUCATION,COBURG,16,0,1,35,0,0,100,100,0,0.0,0.0,27.0,0.6,410.0,11.180339887498949
14,2016,GOVERNMENT,COBURG HIGH SCHOOL,COBURG,22,0,0,31,0,0,66,100,1,0.0,0.0,29.0,3.4,410.0,11.180339887498949
15,2016,CATHOLIC,MERCY COLLEGE,COBURG,34,12,0,138,31,14,100,100,3,79.0,93.0,28.0,3.5,410.0,11.180339887498949
16,2017,CATHOLIC,AVILA COLLEGE,MOUNT WAVERLEY,47,12,0,261,33,22,98,99,30,100.0,94.0,32.0,8.8,463.75,5.448623679425842
17,2017,INDEPENDENT,HUNTINGTOWER SCHOOL,MOUNT WAVERLEY,34,4,0,165,4,0,98,100,24,93.0,0.0,37.0,30.0,463.75,5.448623679425842
18,2017,GOVERNMENT,MOUNT WAVERLEY SECONDARY COLLEGE,MOUNT WAVERLEY,59,15,0,439,38,0,97,99,37,80.0,0.0,30.0,5.9,463.75,5.448623679425842
19,2016,CATHOLIC,AVILA COLLEGE,MOUNT WAVERLEY,46,10,0,265,22,20,96,100,22,100.0,100.0,32.0,10.0,463.75,5.448623679425842
20,2016,GOVERNMENT,MOUNT WAVERLEY SECONDARY COLLEGE,MOUNT WAVERLEY,43,9,0,417,28,0,97,100,45,93.0,0.0,31.0,7.8,463.75,5.448623679425842
21,2017,GOVERNMENT,BAIMBRIDGE COLLEGE HAMILTON,HAMILTON,25,17,0,86,100,28,50,89,0,90.0,78.0,26.0,0.6,230.625,1.653594569415369
22,2017,CATHOLIC,MONIVAE COLLEGE,HAMILTON,39,21,0,109,71,27,70,100,0,87.0,99.0,29.0,2.9,230.625,1.653594569415369
23,2017,INDEPENDENT,THE HAMILTON AND ALEXANDRA COLLEGE,HAMILTON,37,10,0,127,58,0,93,100,6,99.0,0.0,32.0,12.7,230.625,1.653594569415369
24,2016,GOVERNMENT,BAIMBRIDGE COLLEGE HAMILTON,HAMILTON,33,15,0,80,87,39,75,92,0,89.0,70.0,25.0,2.0,230.625,1.653594569415369
25,2016,CATHOLIC,MONIVAE COLLEGE,HAMILTON,49,22,0,162,110,19,68,99,1,88.0,92.0,30.0,4.9,230.625,1.653594569415369
26,2016,INDEPENDENT,THE HAMILTON AND ALEXANDRA COLLEGE,HAMILTON,32,6,0,104,54,0,87,100,6,98.0,0.0,32.0,7.7,230.625,1.653594569415369
27,2017,GOVERNMENT,BAIRNSDALE SECONDARY COLLEGE,BAIRNSDALE,55,22,0,200,129,86,51,96,0,50.0,69.0,24.0,0.8,278.75,2.165063509461097
28,2017,CATHOLIC,NAGLE COLLEGE,BAIRNSDALE,40,19,0,165,126,37,51,99,1,94.0,90.0,26.0,1.6,278.75,2.165063509461097
29,2016,GOVERNMENT,BAIRNSDALE SECONDARY COLLEGE,BAIRNSDALE,57,25,0,201,126,82,73,95,0,70.0,79.0,26.0,2.1,278.75,2.165063509461097
30,2016,CATHOLIC,NAGLE COLLEGE,BAIRNSDALE,43,20,0,192,136,47,63,100,2,92.0,78.0,27.0,2.0,278.75,2.165063509461097
31,2017,INDEPENDENT,BALLARAT CHRISTIAN COLLEGE,SEBASTOPOL,19,13,0,56,74,10,76,100,0,67.0,88.0,29.0,4.9,256.625,4.442338910979215
32,2017,GOVERNMENT,PHOENIX P-12 COMMUNITY COLLEGE,SEBASTOPOL,37,16,0,150,125,62,73,99,0,79.0,89.0,26.0,1.9,256.625,4.442338910979215
33,2016,INDEPENDENT,BALLARAT CHRISTIAN COLLEGE,SEBASTOPOL,25,20,0,52,91,11,40,100,0,68.0,100.0,28.0,0.0,256.625,4.442338910979215
34,2016,GOVERNMENT,PHOENIX P-12 COMMUNITY COLLEGE,SEBASTOPOL,47,29,0,162,142,87,79,93,0,78.0,77.0,27.0,1.1,256.625,4.442338910979215
35,2017,INDEPENDENT,BALLARAT CLARENDON COLLEGE,BALLARAT,42,11,0,204,43,0,99,100,3,99.0,0.0,37.0,33.6,270.625,5.266343608235224
36,2017,GOVERNMENT,BALLARAT HIGH SCHOOL,BALLARAT,54,34,0,318,277,68,57,97,3,82.0,81.0,28.0,3.9,270.625,5.266343608235224
37,2017,CATHOLIC,LORETO COLLEGE,BALLARAT,49,19,0,216,82,26,88,99,8,83.0,94.0,31.0,6.7,270.625,5.266343608235224
38,2017,CATHOLIC,ST PATRICK'S COLLEGE,BALLARAT,40,21,0,357,258,23,80,98,5,96.0,100.0,29.0,3.2,270.625,5.266343608235224
39,2016,INDEPENDENT,BALLARAT CLARENDON COLLEGE,BALLARAT,41,14,0,225,45,0,96,100,6,88.0,0.0,37.0,30.0,270.625,5.266343608235224
40,2016,GOVERNMENT,BALLARAT HIGH SCHOOL,BALLARAT,58,29,0,312,245,63,64,97,3,95.0,85.0,28.0,3.6,270.625,5.266343608235224
41,2016,GOVERNMENT,BALLARAT SECONDARY COLLEGE,BALLARAT,58,38,0,113,122,92,65,88,0,88.0,68.0,27.0,2.2,270.625,5.266343608235224
42,2016,CATHOLIC,LORETO COLLEGE,BALLARAT,46,21,0,211,112,28,96,100,6,95.0,92.0,32.0,11.2,270.625,5.266343608235224
43,2016,CATHOLIC,ST PATRICK'S COLLEGE,BALLARAT,48,23,0,376,284,0,71,100,2,92.0,0.0,29.0,4.9,270.625,5.266343608235224
44,2017,INDEPENDENT,BALLARAT GRAMMAR,WENDOUREE,58,27,0,306,90,22,82,100,11,94.0,86.0,32.0,11.2,291.25,3.307189138830738
45,2016,INDEPENDENT,BALLARAT GRAMMAR,WENDOUREE,50,19,0,297,75,5,85,100,11,95.0,26.0,32.0,9.4,291.25,3.307189138830738
46,2017,GOVERNMENT,BAYSIDE P-12 COLLEGE - PAISLEY CAMPUS,NEWPORT,48,21,0,141,124,43,69,91,4,83.0,85.0,28.0,2.7,454.375,9.164298936634488
47,2016,GOVERNMENT,BAYSIDE P-12 COLLEGE - PAISLEY CAMPUS,NEWPORT,48,21,0,146,119,56,67,96,0,86.0,88.0,30.0,3.9,454.375,9.164298936634488
48,2017,GOVERNMENT,BAYSWATER SECONDARY COLLEGE,BAYSWATER,22,14,0,35,22,18,66,100,0,77.0,70.0,22.0,0.0,356.25,7.39509972887452
49,2016,GOVERNMENT,BAYSWATER SECONDARY COLLEGE,BAYSWATER,21,13,0,41,22,18,56,94,0,75.0,100.0,21.0,1.2,356.25,7.39509972887452
50,2017,INDEPENDENT,BAYVIEW COLLEGE,PORTLAND,21,7,0,55,10,6,69,100,0,91.0,90.0,29.0,3.7,232.5,4.330127018922194
51,2017,GOVERNMENT,PORTLAND SECONDARY COLLEGE,PORTLAND,36,13,0,141,103,41,62,97,0,80.0,69.0,26.0,0.6,232.5,4.330127018922194
52,2016,INDEPENDENT,BAYVIEW COLLEGE,PORTLAND,32,8,0,62,10,7,78,97,2,81.0,88.0,28.0,1.7,232.5,4.330127018922194
53,2016,GOVERNMENT,PORTLAND SECONDARY COLLEGE,PORTLAND,34,15,0,127,148,46,77,96,2,76.0,75.0,26.0,1.7,232.5,4.330127018922194
54,2017,INDEPENDENT,BEACONHILLS COLLEGE - BERWICK,BERWICK,41,6,0,228,7,0,85,99,7,100.0,0.0,31.0,7.4,385.0,5.0
55,2017,GOVERNMENT,BERWICK SECONDARY COLLEGE,BERWICK,57,30,0,341,219,89,77,98,4,100.0,81.0,29.0,5.6,385.0,5.0
56,2017,GOVERNMENT,KAMBRYA COLLEGE,BERWICK,69,37,0,235,258,138,74,97,5,88.0,83.0,30.0,3.3,385.0,5.0
57,2017,SELECTIVE,NOSSAL HIGH SCHOOL,BERWICK,45,3,0,424,21,0,99,100,47,100.0,0.0,36.0,21.5,385.0,5.0
58,2017,INDEPENDENT,ST MARGARETS SCHOOL,BERWICK,26,3,0,97,0,0,100,100,9,0.0,0.0,35.0,20.4,385.0,5.0
59,2016,INDEPENDENT,BEACONHILLS COLLEGE - BERWICK,BERWICK,40,6,0,215,10,0,83,100,9,98.0,0.0,32.0,6.7,385.0,5.0
60,2016,GOVERNMENT,BERWICK SECONDARY COLLEGE,BERWICK,59,33,0,368,226,115,82,99,4,100.0,96.0,29.0,3.8,385.0,5.0
61,2016,GOVERNMENT,KAMBRYA COLLEGE,BERWICK,64,32,0,227,198,128,75,100,5,93.0,91.0,29.0,2.2,385.0,5.0
62,2016,SELECTIVE,NOSSAL HIGH SCHOOL,BERWICK,44,6,0,425,23,0,99,100,46,100.0,0.0,35.0,22.7,385.0,5.0
63,2016,INDEPENDENT,ST MARGARETS SCHOOL,BERWICK,30,0,0,117,0,0,100,100,10,0.0,0.0,34.0,15.9,385.0,5.0
64,2017,INDEPENDENT,BEACONHILLS COLLEGE - PAKENHAM,PAKENHAM,35,0,0,173,0,0,92,100,8,0.0,0.0,31.0,5.8,336.875,6.584783595532961
65,2017,INDEPENDENT,LAKESIDE LUTHERAN COLLEGE,PAKENHAM,15,5,0,35,29,0,84,100,0,95.0,0.0,28.0,0.0,336.875,6.584783595532961
66,2017,GOVERNMENT,PAKENHAM SECONDARY COLLEGE,PAKENHAM,54,36,0,130,119,84,96,100,0,97.0,79.0,27.0,1.8,336.875,6.584783595532961
67,2016,INDEPENDENT,BEACONHILLS COLLEGE - PAKENHAM,PAKENHAM,37,1,0,212,0,0,88,100,5,0.0,0.0,31.0,7.6,336.875,6.584783595532961
68,2016,INDEPENDENT,LAKESIDE LUTHERAN COLLEGE,PAKENHAM,23,2,0,31,0,0,90,100,1,0.0,0.0,25.0,2.7,336.875,6.584783595532961
69,2017,GOVERNMENT,BELMONT HIGH SCHOOL,BELMONT,78,35,0,329,269,57,70,98,4,88.0,80.0,28.0,6.0,343.125,7.473912964438374
70,2017,GOVERNMENT,OBERON HIGH SCHOOL,BELMONT,44,18,0,124,33,28,65,100,5,95.0,91.0,29.0,4.3,343.125,7.473912964438374
71,2016,GOVERNMENT,BELMONT HIGH SCHOOL,BELMONT,73,35,0,339,241,51,71,98,9,92.0,81.0,30.0,6.0,343.125,7.473912964438374
72,2016,GOVERNMENT,OBERON HIGH SCHOOL,BELMONT,58,27,0,157,78,37,72,97,2,79.0,83.0,29.0,3.5,343.125,7.473912964438374
73,2017,GOVERNMENT,BENDIGO SENIOR SECONDARY COLLEGE,BENDIGO,82,42,0,1175,601,267,59,95,6,84.0,76.0,27.0,1.8,274.125,3.9191038516477206
74,2017,CATHOLIC,CATHOLIC COLLEGE BENDIGO,BENDIGO,51,19,0,454,160,60,88,100,10,90.0,97.0,29.0,4.3,274.125,3.9191038516477206
75,2017,INDEPENDENT,GIRTON GRAMMAR SCHOOL,BENDIGO,43,5,0,241,19,0,99,100,9,97.0,0.0,34.0,16.6,274.125,3.9191038516477206
76,2016,GOVERNMENT,BENDIGO SENIOR SECONDARY COLLEGE,BENDIGO,79,40,0,1153,617,285,62,97,6,81.0,81.0,27.0,2.1,274.125,3.9191038516477206
77,2016,CATHOLIC,CATHOLIC COLLEGE BENDIGO,BENDIGO,54,18,0,459,195,67,87,99,5,91.0,97.0,29.0,4.7,274.125,3.9191038516477206
78,2016,INDEPENDENT,GIRTON GRAMMAR SCHOOL,BENDIGO,45,4,0,218,22,0,98,100,10,98.0,0.0,34.0,20.1,274.125,3.9191038516477206
79,2017,GOVERNMENT,BLACKBURN HIGH SCHOOL,BLACKBURN,50,16,0,283,24,0,71,97,12,93.0,0.0,30.0,6.8,410.625,6.343057228182637
80,2016,GOVERNMENT,BLACKBURN HIGH SCHOOL,BLACKBURN,46,10,0,211,15,0,80,96,9,68.0,0.0,29.0,6.0,410.625,6.343057228182637
81,2017,GOVERNMENT,BOX HILL HIGH SCHOOL,BOX HILL,68,27,0,391,71,0,89,98,34,93.0,0.0,33.0,15.0,398.75,6.49519052838329
82,2017,INDEPENDENT,KINGSWOOD COLLEGE,BOX HILL,37,12,0,141,101,0,97,100,3,100.0,0.0,32.0,8.1,398.75,6.49519052838329
83,2017,CATHOLIC,OUR LADY OF SION COLLEGE,BOX HILL,45,16,0,217,31,9,94,100,12,94.0,80.0,33.0,11.3,398.75,6.49519052838329
84,2016,GOVERNMENT,BOX HILL HIGH SCHOOL,BOX HILL,55,20,0,350,53,0,93,98,28,94.0,0.0,33.0,19.0,398.75,6.49519052838329
85,2016,INDEPENDENT,KINGSWOOD COLLEGE,BOX HILL,34,15,0,103,94,0,88,100,2,100.0,0.0,32.0,18.0,398.75,6.49519052838329
86,2016,CATHOLIC,OUR LADY OF SION COLLEGE,BOX HILL,43,21,0,245,35,9,98,100,20,91.0,100.0,33.0,8.9,398.75,6.49519052838329
87,2017,GOVERNMENT,BRAUER COLLEGE,WARRNAMBOOL,34,19,0,157,90,40,62,96,1,90.0,78.0,28.0,6.0,290.625,2.9973947020704497
88,2017,CATHOLIC,EMMANUEL COLLEGE,WARRNAMBOOL,42,24,0,271,107,22,69,98,3,100.0,78.0,27.0,3.7,290.625,2.9973947020704497
89,2017,INDEPENDENT,KINGS COLLEGE,WARRNAMBOOL,17,6,0,23,6,0,54,100,1,100.0,0.0,31.0,7.4,290.625,2.9973947020704497
90,2017,GOVERNMENT,WARRNAMBOOL COLLEGE,WARRNAMBOOL,50,25,0,261,92,25,74,95,7,91.0,88.0,29.0,4.8,290.625,2.9973947020704497
91,2016,GOVERNMENT,BRAUER COLLEGE,WARRNAMBOOL,39,20,0,176,107,35,67,99,0,87.0,87.0,29.0,3.7,290.625,2.9973947020704497
92,2016,CATHOLIC,EMMANUEL COLLEGE,WARRNAMBOOL,44,26,0,288,126,36,72,97,8,89.0,93.0,29.0,4.7,290.625,2.9973947020704497
93,2016,INDEPENDENT,KINGS COLLEGE,WARRNAMBOOL,24,6,0,29,5,0,70,100,1,98.0,0.0,30.0,5.1,290.625,2.9973947020704497
94,2016,GOVERNMENT,WARRNAMBOOL COLLEGE,WARRNAMBOOL,57,34,0,279,132,27,75,91,9,70.0,73.0,28.0,5.5,290.625,2.9973947020704497
95,2017,GOVERNMENT,BRENTWOOD SECONDARY COLLEGE,GLEN WAVERLEY,48,12,0,412,33,0,96,100,33,57.0,0.0,31.0,5.9,458.75,7.806247497997997
96,2017,GOVERNMENT,GLEN WAVERLEY SECONDARY COLLEGE,GLEN WAVERLEY,65,20,0,649,95,0,93,100,104,96.0,0.0,33.0,15.9,458.75,7.806247497997997
97,2017,INDEPENDENT,WESLEY COLLEGE GLEN WAVERLEY CAMPUS,GLEN WAVERLEY,32,5,1,117,14,0,97,100,12,100.0,0.0,32.0,7.9,458.75,7.806247497997997
98,2016,GOVERNMENT,BRENTWOOD SECONDARY COLLEGE,GLEN WAVERLEY,55,10,0,408,26,0,99,100,27,58.0,0.0,30.0,7.0,458.75,7.806247497997997
99,2016,GOVERNMENT,GLEN WAVERLEY SECONDARY COLLEGE,GLEN WAVERLEY,66,21,0,643,79,0,94,100,101,96.0,0.0,33.0,15.2,458.75,7.806247497997997
100,2016,GOVERNMENT,HIGHVALE SECONDARY COLLEGE,GLEN WAVERLEY,38,8,0,211,7,0,89,99,14,100.0,0.0,31.0,7.0,458.75,7.806247497997997
101,2016,INDEPENDENT,WESLEY COLLEGE GLEN WAVERLEY CAMPUS,GLEN WAVERLEY,34,9,1,117,35,0,89,100,15,45.0,0.0,31.0,8.9,458.75,7.806247497997997
102,2017,INDEPENDENT,BRIGHTON GRAMMAR SCHOOL,BRIGHTON,36,8,0,218,12,0,95,100,30,92.0,0.0,34.0,20.8,604.375,20.223362109204295
103,2017,INDEPENDENT,FIRBANK GRAMMAR SCHOOL,BRIGHTON,40,5,0,236,7,0,98,99,33,88.0,0.0,35.0,24.9,604.375,20.223362109204295
104,2017,CATHOLIC,STAR OF THE SEA COLLEGE,BRIGHTON,49,13,0,268,53,8,99,100,12,94.0,95.0,33.0,14.8,604.375,20.223362109204295
105,2017,INDEPENDENT,YESODEI HATORAH COLLEGE - BILLILLA CAMPUS,BRIGHTON,12,5,0,21,32,0,62,100,1,100.0,0.0,34.0,37.9,604.375,20.223362109204295
106,2016,INDEPENDENT,BRIGHTON GRAMMAR SCHOOL,BRIGHTON,35,3,0,217,7,0,98,100,29,100.0,0.0,34.0,22.3,604.375,20.223362109204295
107,2016,CATHOLIC,STAR OF THE SEA COLLEGE,BRIGHTON,47,16,0,257,62,9,99,99,8,94.0,100.0,34.0,15.0,604.375,20.223362109204295
108,2017,GOVERNMENT,BRIGHTON SECONDARY COLLEGE,BRIGHTON EAST,56,19,0,336,67,0,76,96,11,90.0,0.0,30.0,6.2,642.5,13.919410907075054
109,2017,INDEPENDENT,ST LEONARDS COLLEGE,BRIGHTON EAST,37,5,1,174,23,0,87,100,8,99.0,0.0,34.0,15.9,642.5,13.919410907075054
110,2016,GOVERNMENT,BRIGHTON SECONDARY COLLEGE,BRIGHTON EAST,47,15,0,316,70,0,78,96,17,86.0,0.0,30.0,6.2,642.5,13.919410907075054
111,2016,INDEPENDENT,ST LEONARDS COLLEGE,BRIGHTON EAST,42,8,1,203,27,0,93,100,10,96.0,0.0,33.0,14.7,642.5,13.919410907075054
112,2017,GOVERNMENT,BRUNSWICK SECONDARY COLLEGE,BRUNSWICK,56,22,0,192,85,35,85,99,0,82.0,88.0,30.0,6.8,431.875,11.162856937182346
113,2016,GOVERNMENT,BRUNSWICK SECONDARY COLLEGE,BRUNSWICK,44,25,0,140,49,53,87,99,3,88.0,80.0,29.0,4.3,431.875,11.162856937182346
114,2017,GOVERNMENT,BUCKLEY PARK COLLEGE,ESSENDON,49,21,0,237,44,36,90,98,16,91.0,93.0,31.0,8.9,377.5,11.989578808281799
115,2017,GOVERNMENT,ESSENDON KEILOR COLLEGE,ESSENDON,38,12,0,195,62,21,96,97,10,89.0,97.0,25.0,1.7,377.5,11.989578808281799
116,2017,INDEPENDENT,LOWTHER HALL ANGLICAN GRAMMAR SCHOOL,ESSENDON,31,4,0,234,160,0,100,100,14,100.0,0.0,36.0,25.2,377.5,11.989578808281799
117,2017,CATHOLIC,ST BERNARD'S COLLEGE,ESSENDON,46,24,0,314,144,26,90,100,5,93.0,95.0,31.0,8.0,377.5,11.989578808281799
118,2017,CATHOLIC,ST COLUMBA'S COLLEGE,ESSENDON,53,14,0,237,55,12,98,100,10,96.0,90.0,32.0,11.9,377.5,11.989578808281799
119,2016,GOVERNMENT,BUCKLEY PARK COLLEGE,ESSENDON,47,16,0,205,30,28,90,98,11,100.0,83.0,30.0,7.1,377.5,11.989578808281799
120,2016,GOVERNMENT,ESSENDON KEILOR COLLEGE,ESSENDON,49,21,0,250,150,26,89,94,12,63.0,79.0,23.0,1.9,377.5,11.989578808281799
121,2016,CATHOLIC,ST BERNARD'S COLLEGE,ESSENDON,50,21,0,367,144,17,89,100,18,94.0,98.0,32.0,10.2,377.5,11.989578808281799
122,2016,CATHOLIC,ST COLUMBA'S COLLEGE,ESSENDON,45,15,0,213,45,12,100,100,10,97.0,100.0,32.0,10.3,377.5,11.989578808281799
123,2017,GOVERNMENT,BUNDOORA SECONDARY COLLEGE,BUNDOORA,30,18,0,73,73,32,74,92,1,78.0,66.0,22.0,1.1,366.875,8.267972847076846
124,2017,INDEPENDENT,NORTHSIDE CHRISTIAN COLLEGE,BUNDOORA,20,8,0,28,13,0,62,100,2,98.0,0.0,30.0,10.4,366.875,8.267972847076846
125,2017,CATHOLIC,PARADE COLLEGE,BUNDOORA,60,21,0,359,281,123,91,100,23,89.0,99.0,31.0,6.6,366.875,8.267972847076846
126,2016,GOVERNMENT,BUNDOORA SECONDARY COLLEGE,BUNDOORA,38,27,0,93,89,29,87,96,0,68.0,58.0,21.0,0.0,366.875,8.267972847076846
127,2016,INDEPENDENT,NORTHSIDE CHRISTIAN COLLEGE,BUNDOORA,18,10,0,29,16,5,69,100,0,99.0,100.0,27.0,5.1,366.875,8.267972847076846
128,2016,CATHOLIC,PARADE COLLEGE,BUNDOORA,66,28,0,428,311,128,81,99,13,90.0,96.0,31.0,9.1,366.875,8.267972847076846
129,2017,INDEPENDENT,CAMBERWELL ANGLICAN GIRLS GRAMMAR SCHOOL,CANTERBURY,34,1,0,164,0,0,100,100,36,0.0,0.0,36.0,27.4,462.875,13.336392878136127
130,2017,GOVERNMENT,CANTERBURY GIRLS SECONDARY COLLEGE,CANTERBURY,55,13,0,257,22,0,94,100,26,95.0,0.0,32.0,13.1,462.875,13.336392878136127
