,Name,Services provided,Cost ($) ex GST 
297,FCM TRAVEL SOLUTIONS PTY LTD,"Accommodation, Event, Functions and Conference",1770
298,FENTON STRATEGIC COMMUNICATIONS PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",135183
299,FINSBURY GREEN PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",25107
300,FINXL PROFESSIONAL SERVICES PTY LTD,Professional Services,136936
301,FIRST POINT CONSULTING PTY LTD,"Professional Services (Research, Leadership and Professional Development)",4888
302,FIX A VAC PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1585
303,FIXIT IT SOLUTIONS,IT Services,7275
304,FLANAGAN BROWN GREAVES PTY LTD,Professional Services,103320
305,FORESTWORKS LTD,Education Services,2273
306,FOURSIGHT ARCHITECTS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",76520
307,FRANKLIN COVEY PTY LTD,"Professional Services (Research, Leadership and Professional Development)",33977
308,FRED AND GINGER CATERING PTY LTD,"Accommodation, Event, Functions and Conference",2019
309,FRENCH QUARTER PATISSERIE BOULONGERIE,"Accommodation, Event, Functions and Conference",19507
310,FRESHDESK INC,IT Services,2065
311,FUEL AGENCY PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",85500
312,FUJI XEROX BUSINESSFORCE PTY LIMITED,Professional Services,141929
313,FUJITSU AUSTRALIA LTD,IT Services,36125
314,FULCRUM CONSULTING PTY LTD,Professional Services,27180
315,FUTUREGOV AUSTRALIA PTY LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",4800
316,GANNTECH PTY LTD,IT Services,42901
317,GAUGE PROPERTY PTY LTD,Professional Services,10000
318,GAVIN HEALY EDUCATION SERVICES,Education Services,13975
319,GEELONG REGIONAL VOCATIONAL EDUCATION COUNCIL INC,Education and Community Development Services,75953
320,GENIE EDUCATIONAL PTY LTD,Education Services,19008
321,GEOMATIC TECHNOLOGIES PTY LTD,IT Services,950
322,GEOPLEX PTY LTD,IT Services,5225
323,G-FORCE RECRUITMENT LTD,Recruitment Services,33816
324,GIBBS CONSULTANCY,Professional Services,40119
325,GILDA HOWARD CONSULTING,Education Services,22626
326,GIPPSLAND EAST LOCAL LEARNING EMPLOYMENT NETWORK,Training Services,54707
327,GLB CONSULTING PTY LTD,Professional Services,2267
328,GLOBAL COFFEE SOLUTIONS PTY LTD,"Accommodation, Event, Functions and Conference",22303
329,GLOBAL VISION MEDIA,"Publishing, Printing, Promotions and Communications or Marketing Services",82288
330,GP IT,IT Services,14051
331,GRANT THORNTON AUSTRALIA LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",225896
332,GRATTAN INSTITUTE,Professional Services,3000
333,GREEN BEAR ENGINEERING PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",41558
334,GREEN COLLECT LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",2037
335,GREENCAP - NAA PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",538790
336,GROVE AUSTRALIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",495440
337,GROWTH COACHING INTERNATIONAL,Education Services,633934
338,GUERNICA PRODUCTIONS,"Publishing, Printing, Promotions and Communications or Marketing Services",5400
339,GWS AUST PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",74626
340,HALL + PARTNERS OPEN MIND PTY LTD,Professional Services,56400
341,HAMILTON PASTORAL + AGRICULTURAL SOCIETY INC,Education and Community Development Services,289
342,HAMMOND STREET DEVELOPMENTS PTY LTD,IT Project Management Services,1037035
343,HANEN CENTRE,Education and Community Development Services,10926
344,HANNAN-SMITH AND ASSOCIATES PTY LTD,Professional Services,21400
345,HARRIS TECHNOLOGY PTY LTD,IT Services,277
346,HARRY THE HIRER PTY LTD,"Accommodation, Event, Functions and Conference",3317
347,HARSOP INDUSTRIES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",360
348,HASKELL ARCHITECTS,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",64439
349,HAWKER BROWNLOW EDUCATION PTY LTD,"Professional Services (Research, Leadership and Professional Development)",16123
350,HAWKER BROWNLOW PROFESSIONAL LEARNING SOLUTIONS,"Professional Services (Research, Leadership and Professional Development)",150000
351,HAY GROUP PTY LTD,Professional Services,38000
352,HAYS SPECIALIST RECRUITMENT AUSTRALIA PTY LIMITED,Contract Staff (Whole-of-Government State Purchase Contract),23796334
353,HDA MEDICAL GROUP P,HR Services,350
354,HEADSPACE NATIONAL YOUTH MENTAL HEALTH FOUNDATION LTD,"Professional Services (Research, Leadership and Professional Development)",36920
355,HEARING AND SAFETY SERVICES,Education and Community Development Services,790
356,HEATHER BARNES PTY LTD,"Professional Services (Research, Leadership and Professional Development)",5200
357,HEIDELBERG GOLF CLUB,"Accommodation, Event, Functions and Conference",427
358,HEPPELL NET,Education Services,15000
359,HERRMANN INTERNATIONAL ASIA PTY LIMITED,Professional Services,6523
360,HICKS-DAVIES CONSULTING PTY LTD,Professional Services,103200
361,HIGHLANDS LOCAL LEARNING AND EMPLOYMENT NETWORK,Training Services,148637
362,HITACHI DATA SYSTEMS AUSTRALIA,IT Services,25327
363,HITCH SOLUTIONS PTY LTD,IT Services,23286
364,HLS EDUCATION CONSULTING,Education Services,30330
365,HOBAN RECRUITMENT,Contract Staff (Whole-of-Government State Purchase Contract),2075336
366,HOBSONS AUSTRALIA PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",205360
367,HOMAX PTY LIMITED,Professional Services,12500
368,HOOK EDUCATION LTD,Professional Services,3300
369,HORSHAM GOLF CLUB,"Accommodation, Event, Functions and Conference",1864
370,HORTON INTERNATIONAL PTY LTD,Recruitment Services,10000
371,HOTEL SOFITEL MELBOURNE,"Accommodation, Event, Functions and Conference",14092
372,HOWARD R KELLY PTY LTD,Professional Services,91153
373,HOWLETT EDUCATION CONSULTANCY,Education Services,33330
374,HUDDLE AUSTRALIA PTY LTD,Professional Services,95346
375,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED,Contract Staff (Whole-of-Government State Purchase Contract),9021652
376,HUMAN CAPITAL INTERNATIONAL PTY LTD,Recruitment Services,1500
377,HYDON CONSULTING PTY LTD,Professional Services,13100
378,I AND J MANAGEMENT SERVICES,Education Assessment Services,155737
379,IBIS MELBOURNE HOTEL AND APARTMENTS,"Accommodation, Event, Functions and Conference",461
380,ICARUS TADDOR PTY LTD,IT Services,327437
381,ICT RECRUITMENT,IT Services,3172
382,ICT TOTAL SUPPORT PTY LTD,IT Services,18887
383,IDEAL IT SERVICES PTY LTD,IT Services,38467
384,IDOL SOLUTIONS,IT Services,6893
385,IKON SOLUTIONS PTY LTD,IT Services,89183
386,ILX GROUP PTY LTD,Professional Services,2053
387,IMAGEPLAY PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",6890
388,IMMEDIACY PTY LTD,"Accommodation, Event, Functions and Conference",95987
389,IMPRO MELBOURNE INC,Education Services,3630
390,INDEC CONSULTING,Professional Services,1450111
391,INEVITABLE TECH PTY LTD,IT Services,11984
392,INFORM COMMUNICATE MOTIVATE INTERNATIONAL (AUSTRALIA) PTY LTD,Education and Community Development Services,2750
393,INFORMATION ACCESS GROUP,Professional Services,1700
394,INFORMATION MANAGEMENT GROUP PTY LTD,Professional Services,991
395,INFOTECH SYSTEMS & SERVICES PTY LTD,IT Services,10518
396,INJURYNET AUSTRALIA PTY LTD,Professional Services,116765
397,INNER MELBOURNE VET CLUSTER INC,"Professional Services (Research, Leadership and Professional Development)",310726
398,INNOVATION + BUSINESS INDUSTRY SKILLS COUNCIL LTD,Education and Community Development Services,5827
399,INNOVATION IN TECHNOLOGY,IT Services,31777
400,INPUT OUTPUT PTY LTD,IT Services,32103
401,INSCAPEIT,IT Services,196652
402,INSIGHT SRC PTY LTD,"Professional Services (Research, Leadership and Professional Development)",298473
403,INSIGHT SYSTEMS GROUP PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",5640
404,INSTITUTE OF PUBLIC ADMINISTRATION AUSTRALIA (VICTORIAN DIVISION) INC,"Professional Services (Research, Leadership and Professional Development)",3134
405,INTEGRITY MATTERS PTY LTD,Professional Services,8575
406,INTERNATIONAL ASSOCIATION FOR PUBLIC PARTICIPATION AUSTRALASIA LIMITED,"Professional Services (Research, Leadership and Professional Development)",11600
407,INTERNATIONAL EDUCATION ASSOCIATION SHANGHAI,Professional Services,66599
408,INTERNATIONAL STUDENT CARE CONSULTANCY GROUP PTY LTD,Professional Services,2400
409,INTERPRIT PTY LTD,IT Services,2250
410,INTESO PTY LTD,IT Project Management Services,98838
411,ION GROUP PTY LTD,Professional Services,1500
412,IOOKA IT,IT Services,14076
413,IPAR REHABILITATION PTY LTD,Education and Community Development Services,5579
414,IRREGULAR NETWORKS PTY LTD,IT Services,24850
415,ISENTIA PTY LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",10000
416,IT AUSTRALIA CONSULTANTS PTY LTD,IT Services,14051
417,IT HAPPENS NETWORK SERVICES PTY LTD,IT Services,37199
418,IT TODAY,IT Services,66770
419,IT4ANYONE PTY LTD,IT Services,14356
420,ITHACA GROUP,"Professional Services (Research, Leadership and Professional Development)",44059
421,JA AND SE CLOHESY PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",250
422,JACOBS GROUP (AUSTRALIA) PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",5065
423,JAGUAR CONSULTING SERVICES PTY LTD,IT Project Management Services,446500
424,JASCO CONSULTING PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",34185
425,JB HI FI,IT Services,13245
426,JB HI-FI EDUCATION SOLUTIONS PTY LTD T/A NETWORK NEIGHBORHOOD PTY LTD,IT Services,1672900
427,JDS AUSTRALIA PTY LTD,IT Project Management Services,90045
428,JEANIEBOY PTY LTD,Education and Community Development Services,340000
429,JEFF WHALAN LEARNING GROUP,"Professional Services (Research, Leadership and Professional Development)",18750
430,JESSUP EZARD CONSULTING,Education and Community Development Services,65100
431,JIANGSU EDUCATION INTERNATIONAL TRAVEL SERVICE,Professional Services,7094
432,JIANGSU EDUCATIONAL INTERNATIONAL CONSULTING LTD,Professional Services,222319
433,JJ INFORMATION SYSTEMS PL,IT Services,54610
434,JO FISHER EXECUTIVE PTY LTD,Recruitment Services,300668
435,JOHN L MULLEN+PARTNERS PTY LTD,Professional Services,1800
436,JOHN MCCARTHY CONSULTING,Professional Services,1200
437,JOHNS LYNG MAKESAFE EMERGENCY BUILDERS VICTORIA,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",575050
438,JON'S TECHNOLOGY SOLUTIONS,IT Services,6379
439,JT TECH,IT Services,9418
440,JULIE BAKER-SMITH AND ASSOCIATES PTY LTD,Professional Services,16459
441,JUSTITIA PTY LTD,Professional Services,136778
442,K+L GATES,Professional Services,40519
443,KALIAM PTY LTD,IT Services,143267
444,KALLURI IT,IT Services,12941
445,KANGAROO FLAT COACH LINES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",875
446,KARSTENS HOLDINGS PTY LTD,Professional Services,6218
447,KATSIERIS ORIGAMI,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",39600
448,KIHI CONSULTANCIES,"Professional Services (Research, Leadership and Professional Development)",39680
449,KILDAIR HOTELS PTY LIMITED T/A MERCURE HOTEL GEELONG,"Accommodation, Event, Functions and Conference",832
450,KINTEC SERVICES PTY LTD,Professional Services,660
451,KJ TEXTILES PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",22952
452,KLOUD SOLUTIONS PTY LTD,IT Project Management Services,64628
453,KMETRICS,Professional Services,13636
454,KONICA MINOLTA BUSINESS SOLUTIONS AUSTRALIA P/L,IT Services,22360
455,KPMG AUSTRALIA,"Professional Services (Research, Leadership and Professional Development)",2043186
456,KRUSE ELECTRICAL AND ALARMS,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",8093
457,KWIK KOPY PRINTING (242 EXHIBITION ST),"Publishing, Printing, Promotions and Communications or Marketing Services",865
458,KWIK KOPY PRINTING CENTRE NORTH MELBOURNE,"Publishing, Printing, Promotions and Communications or Marketing Services",100
459,LA TROBE UNIVERSITY,"Professional Services (Research, Leadership and Professional Development)",12893
460,LADY GOWRIE CHILD CENTRE MELB INC,Early Childhood Services,19675
461,LANDELL CORPORATION PTY LTD,"Strategic Services and Advice for Audit, Fraud and Procurement",82633
462,LANEWAY CONSULTING,Professional Services,3020
463,LARTER CONSULTING PTY LTD,Professional Services,9091
464,LEADING CLEANING AND MAINTENANCE PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",345
465,LEADING LAYERED LEARNING,Education Services,7282
466,LEARNING ARCHITECTS LIMITED,Education Services,6000
467,LEARNING FIRST GROUP PTY LTD,Education Services,248500
468,LES OROURKE DIGITAL IMAGING,"Publishing, Printing, Promotions and Communications or Marketing Services",1175
469,LEUNIG STUDIO,"Publishing, Printing, Promotions and Communications or Marketing Services",200
470,LIFE AND BUSINESS LEADERSHIP INSTITUTE PTY LTD,"Professional Services (Research, Leadership and Professional Development)",46752
471,LIFE SAVING VICTORIA,Education and Community Development Services,2100
472,LINK EMPLOYMENT AND TRAINING INC,Education and Community Development Services,92750
473,LINKIT (ADVANCED ASSESSMENT SYSTEMS),Education Assessment Services,438094
474,LIQUID LEARNING GROUP PTY LTD,Professional Services,200
475,LODDON MALLEE PRESCHOOL ASSOCIATION INC,Early Childhood Services,15000
476,LOFT ON LANGRIDGE,"Accommodation, Event, Functions and Conference",21000
477,LOGICAL SERVICES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",9510
478,LONDON SPEAKER BUREAU,"Publishing, Printing, Promotions and Communications or Marketing Services",2777
479,LONEY GREGORY ROSS,Professional Services,17550
480,LORENZINI GROUP PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1600
481,LOUISE HILL AND ASSOCIATES PTY LTD,Education Services,818
482,LOUKES ELECTRONICS,IT Services,47768
483,LYNELLE HOPKINS CONSULTING PTY LTD,Education Services,16250
484,M + P PARTNERS PTY LTD,Professional Services,26010
485,M MILLAR CONSULTING PTY LTD,Professional Services,21561
486,MACUTEX PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1100
487,MADDOCKS,Professional Services,57750
488,MADEC AUSTRALIA,Professional Services,818
489,MADISON CROSS AUSTRALIA PTY LTD,IT Project Management Services,139680
490,MAGNETIZED MARKETS PTY LTD,IT Project Management Services,26990
491,MAKER MEDIA INC,"Publishing, Printing, Promotions and Communications or Marketing Services",776
492,MALDEW HOLDINGS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1148
493,MALLEE TRACK HEALTH AND COMMUNITY SERVICE,Education and Community Development Services,15000
494,MARBEANGROOK CONSULTING,Professional Services,1000
495,MARJORIE MILNER COLLEGE,Education Services,5760
496,MARKETSIGHT LLC,IT Services,4741
497,MARSH PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",1683034
498,MARUTI SOLUTIONS PTY LTD,IT Services,672
499,MATHEMATICAL ASSOCIATION VIC,"Professional Services (Research, Leadership and Professional Development)",29335
500,MAX PHOTOGRAPHY PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",4502
501,MAYFAIR GROUP MANAGEMENT PTY LTD,"Professional Services (Research, Leadership and Professional Development)",8200
502,MAZUMA MOBILE PTY LTD,IT Services,1500
503,MCDULING YOUNG PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",500
504,MCORP CONSULTING PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",3420
505,MEDIALINK PRODUCTIONS,Professional Services,67963
506,MEDITATION CAPSULES,HR Services,300
507,MELBOURNE HEADSHOT COMPANY PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",477
508,MELBOURNE STUDIO PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",18000
509,MELTON SOUTH COMMUNITY CENTRE INC,Education and Community Development Services,72
510,MENDLESON COMMUNICATION PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",10073
511,MERCURE NORTH MELBOURNE,"Accommodation, Event, Functions and Conference",6959
512,METRO TRADE SERVICES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",48355
513,MFL CAREERS,"Professional Services (Research, Leadership and Professional Development)",5520
514,MICHAEL FRANCIS EDUCATIONAL,Education Services,3750
515,MICHAEL FULLAN ENTERPRISES INC,Professional Services,2000
516,MICHAEL PAGE INTERNATIONAL (AUSTRALIA) PTY LIMITED,Recruitment Services,6000
517,MICROCEL PTY LTD,IT Services,25047
518,MICROHIRE (VIC/SEQ) PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",22727
519,MICROSOFT PTY LIMITED,IT Project Management Services,41897
520,MID-CONTINENT RESEARCH FOR EDUCATION AND LEARNING,"Professional Services (Research, Leadership and Professional Development)",52199
521,MIKES MOBILE CYCLE SERVICES,IT Services,975
522,MILDURA GOLF CLUB INCORPORATED,"Accommodation, Event, Functions and Conference",1274
523,MILDURA RURAL CITY COUNCIL,Education and Community Development Services,1282
524,MILLS OAKLEY LAWYERS,Professional Services,1030
525,MINTER ELLISON,Professional Services,99843
526,MITCHELL DAVID,Professional Services,2500
527,MONASH UNIVERSITY,"Professional Services (Research, Leadership and Professional Development)",642629
528,MORELAND GROUP,IT Project Management Services,7280
529,MORWILL SERVICES PTY LTD,Professional Services,2296
530,MOTT MACDONALD AUSTRALIA PTY LIMITED,Education Services,1748752
531,MUNICIPAL ASSOCIATION OF VICTORIA,"Professional Services (Research, Leadership and Professional Development)",8000
532,MURDOCH CHILDRENS RESEARCH INSTITUTE,Early Childhood Services,399218
533,MURRAY MALLEE LOCAL LEARNING AND EMPLOYMENT NETWORK INC,Training Services,47660
534,MUSICAL FUTURES AUSTRALIA PTY LTD,Education Services,150000
535,MY EMERGENCY MANAGEMENT PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",4830
536,MY TECH HELPER PTY LTD (SDM PROVIDER),IT Services,27189
537,MYERS EVELYN BARBARA,"Professional Services (Research, Leadership and Professional Development)",1750
538,MYIT SOLUTIONS PTY LTD,IT Services,35865
539,NAKAMA MELBOURNE PTY LTD,Recruitment Services,1674
540,NATIONAL CURRICULUM SERVICES,Curriculum Development Services,338689
541,NATIONAL FIRST AID,Education Services,433
542,NCS PEARSON PTY LTD,Education Services,185181
543,NDC INFOTECH PTY LTD,IT Services,32847
544,NEC AUSTRALIA PTY LTD,IT Services,27624
545,NECA EDUCATION AND CAREERS LTD,Education Services,5398
546,NETWORK DOCTOR,IT Services,14178
547,NETWORK PERFORMANCE PTY LTD,IT Services,30167
548,NEW PEDAGOGIES FOR DEEP LEARNING,Education Services,238699
549,NEWTOUCH,IT Services,4923
550,NEXTGEN LEARNING PTY LIMITED,Education Services,9864
551,NGS GLOBAL PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",97889
552,NIBBLE CO AUST PTY LTD,"Accommodation, Event, Functions and Conference",7413
553,NO FUSS ADMIN,Professional Services,190
554,NOAHS ARK INC,"Professional Services (Research, Leadership and Professional Development)",2500
555,NORTH CENTRAL LOCAL LEARNING AND EMPLOYMENT NETWORK INC,Training Services,45977
556,NORTH CONSULTING SERVICES PTY LTD,Professional Services,14725
557,NORTH PROJECTS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",56625
558,NORTHERN MALLEE LOCAL LEARNING AND EMPLOYMENT NETWORK,Training Services,51890
559,NOTOSH LIMITED,Professional Services,18800
560,NOUS GROUP PTY LTD,Education Services,982171
561,NTEGRITY PTY LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",17150
562,NUTTSHELL GRAPHICS,Professional Services,27683
563,OAKTON SERVICES PTY LTD,IT Project Management Services,336720
564,OBJECT CONSULTING PTY LIMITED,IT Services,35200
565,OBS PTY LTD,IT Project Management Services,789272
566,OLIKKA PTY LTD,IT Project Management Services,6931
567,OOM CREATIVE,IT Services,27200
568,OPEN WINDOWS AUSTRALIA PTY LTD,IT Services,220000
569,OPTIM LEADERSHIP CONSULTING PTY LTD,"Professional Services (Research, Leadership and Professional Development)",62364
570,OPTUM HEALTH + TECHNOLOGY (AUSTRALIA) PTY LTD,Professional Services,519211
571,ORFF SCHULWERK ASSOCIATION OF VICTORIA,Education Services,114
572,ORGANISATIONAL DIRECTIONS,"Professional Services (Research, Leadership and Professional Development)",80425
573,ORGANON CONSULTING PTY LTD,IT Services,17310
574,OSD PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",2406
575,OTHER 157 INDIVIDUALS,Various,1992836
576,OUR COMMUNITY PTY LTD,"Accommodation, Event, Functions and Conference",22727
577,OUTBACK KIDS CHILD CARE CENTRE,Early Childhood Services,15000
578,OUTER EASTERN LOCAL LEARNING AND EMPLOYMENT NETWORK INC,Training Services,101051
579,OUTPOST CONSULTING,Professional Services,13000
580,OXANDA CHILD CARE PTY LTD,Early Childhood Services,5275
581,OZCOM IT SERVICES,IT Services,18343
582,P H WILLIAMS CONSULTING PTY LTD,IT Services,70305
583,PAPER MOUSE STUDIO,"Publishing, Printing, Promotions and Communications or Marketing Services",5114
584,PARIS INFORMATION TECHNOLOGY,IT Services,53444
585,PARISFIRST PARTNERS PTY LTD,IT Services,68139
586,PARKIN CORPORATE PTY LTD,Professional Services,247825
587,PATERSON + PATERSON CONSULTING PTY LTD,"Professional Services (Research, Leadership and Professional Development)",2500
588,PATRICK STUDIOS AUSTRALIA PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",9250
589,PD TURNER CONSULTING PTY LTD,Professional Services,5125
590,PEER ACADEMY PTY LTD,Education Services,14095
591,PEOPLEBANK AUSTRALIA LIMITED,IT Services,132262
592,PERCEVAL PTY LTD,Professional Services,2200
593,PERFORMANCE DEVELOPMENT PTY LTD,"Professional Services (Research, Leadership and Professional Development)",4009
594,PERIDOT EDUCATION PTY LTD,Education Services,2282
595,PETER COLLINS+ASSOCIATES PTY LTD,Professional Services,2500
596,PHILLIP ISLAND NATURE PARK BOARD OF MANAGEMENT INC,"Accommodation, Event, Functions and Conference",540
