Year,Burnie (Round Hill),Cape Grim (Woolnorth),Wynyard Airport,Smithton (Upper Havelock Street),Scottsdale (West Minstone Road),Marrawah,Launceston (Ti Tree Bend),Low Head,Devonport Airport,Cape Grim BAPS (Comparison),Luncheon Hill (Forestry),Bridport (Sea View Villas),Sheffield School Farm,Cressy Research Station,Launceston Airport,Bicheno (Council Depot),Fingal (Legge Street),Lake Leake (Elizabeth River),Orford (Aubin Court),Larapuna (Eddystone Point),Friendly Beaches,St Helens Aerodrome,Swan Island,Maria Island (Point Lesueur),Swansea (Francis Street),Ross (The Boulevards),Hobart Airport,Cape Bruny Lighthouse,Dover,Hobart (Ellerslie Road),Maatsuyker Island Lighthouse,Mount Wellington,Geeveston (Cemetery Road),Tasman Island,Hartz Mountain (Keoghs Pimple),Tunnack Fire Station,Cape Bruny (Cape Bruny),Melton Mowbray (North Stockman),Campania (Kincora),Grove (Research Station),: Bushy Park (Bushy Park Estates),Ouse Fire Station,Maydena Post Office,Liawenee,Lake St Clair National Park,Cape Sorell,Warra,Strathgordon Village,Strahan Aerodrome,Low Rocky Point,Scotts Peak Dam,Mount Read,King Island Airport,Flinders Island Airport
1995,64.8,49,66,,47.8,39.4,52,,35.8,42,32,38.8,,,,129,111,73.4,108,79,,,,,,43,62.2,34.4,59.8,72,63.4,202,43.2,,,,,,,,24,,46,,76.2,36,,91,47.4,34,,,28.2,61.8
1996,47,46,66,,55.4,60,45.4,,40,36,51,41.2,,,,65.4,80.2,77.6,94,65.6,,,,,,51.8,41.4,62,98,61,52,159,65.6,,95,,,9.2,,,47.6,,51,,90.4,78,,73.4,57.4,46,,65,47,35.8
1997,49.6,43,57.6,,38,38.6,30,,61,41,43,27,60.4,,,36.2,23.8,29.2,34.4,30.8,25,,,,,29.6,53.6,59.4,83.8,61,43.8,97,80,,68,26,21,35.6,,,60,,39.2,,44.6,31,,88,35.2,53,,105,40.4,50.4
1998,53.6,53,49.4,,58.4,61.2,53.4,39,78.4,47,53,43,76.5,,,77.6,48.6,30.2,84.2,53,67,,,,,47.6,52.4,49,63.6,50.2,41.6,71,64,,73,56,48.4,66.6,,,56,45,25.2,,56,66,,47,73.8,67,46,83,62,107
1999,29.4,36,36.4,26.4,38.8,33.4,32.4,34.6,29.4,26,53,41,40,26,,33.4,53,45,33.9,49,33,,,,,34,42,113.4,56.2,43.6,62,53,50,,38,34,104.8,26,,,31.6,35,57,,63.9,47,,50,85.8,110,42,138,25.4,49.6
2000,82.4,40.6,91,82.2,45.2,19.2,67.6,49,62,32,67,21.4,37,72,,75.4,72,61,47,68,73,,,,,36.8,41.4,28.4,25,30.6,23.8,60,32,,28,59,22.8,19.8,27,,19,28,38.8,16.8,42,40,,53.2,31,72,52,77,31.8,60.2
2001,67,32,50,42,53.6,25,39.2,47.2,47.6,29,48,49.6,74,32,,50,49,64.8,39.2,36,60,84.2,22.4,,,34.6,27.6,28,35.4,33.2,50.5,81,35,,27,35,24,24.2,26,,25.2,38,40.4,45,56,56,,50.4,40,30,48,72,29,48.6
2002,47.8,36.8,26,33,26.6,32.6,21,33.4,29,30,38,22.4,33,33,,29,46,24.2,34.8,25,34,35,26,,,17.4,29,50.6,28,24.4,24.8,41,30.6,76,36,27,50.2,18.4,23,,15.6,16.2,28.6,33,51,41,,54,40,45,53,78,27.6,24.8
2003,44,35,64,52.4,40.4,53,47,46.4,50,30.6,45,33.6,43.2,42.2,,52,72.6,55.8,41.8,72,105.8,49,53.6,,,32,42.8,76.6,64.2,50,37.6,89,49.2,49,40.8,47.8,55.6,30.4,48,,39,34.4,52,88,62.8,30,,113.6,39.6,54,53.4,126,40,55.4
2004,29.4,20,31.6,24.6,46.6,24.8,54,106.2,95.4,17,44,47,90.4,21.4,29.2,71,60,41.6,93.4,41.8,89.2,124.2,62.4,24,,36.8,34,42.8,36.8,43.6,40.2,128.2,33.2,62,42.4,32.2,28.8,24.6,46,32,34.4,41,48,56.6,73.2,33,26,76.8,35,38,38.6,79.2,25,51.2
2005,39,39,47.2,30.4,59.6,50.2,65.4,51.2,47.2,38.2,41,42,73.8,71.6,78,76,52,63.8,77.6,68.8,49.2,67.2,45.6,66.4,,64.8,63.8,35.4,66.6,75.4,39.6,89.8,50,45.6,44.4,83.6,30.4,31.8,37.2,54.6,27.8,34.8,62.8,74.2,39,54,40.4,60.2,44.6,34,37.8,67,33,48.8
2006,35.2,21.2,36.4,56.4,30.6,20.2,38,25,38.2,25,49,22,23.8,35,38.8,28.2,27,22.4,20.6,21.2,32,32.4,17,21.4,,18.8,16.8,29,25.4,15.4,40.8,71.6,24.6,28.6,32.8,22,26.4,17.2,19.8,19.2,19.6,18.6,25.6,41.6,46.2,33,39.6,57.2,36,39,49.2,68.6,20.8,34
2007,49,62.1,54,38.6,46.8,35.2,44.8,23.6,40,55.8,41,32.4,74,31.6,26.4,29.8,27,55,20.6,26.6,36.2,34,51.2,21,,24.8,46.6,42.4,36.8,70.4,38.4,66.4,57.4,54.2,36,35.4,40.2,63.4,49.2,38,48,48,51.2,50,84.8,40,87.6,110.8,45.4,46,59.2,104.6,44,42
2008,51.6,15,43.2,27.4,42.6,38.2,39.8,46.8,36.4,33.4,46.2,49.8,63.8,36.6,27.4,52.2,30.4,25.8,23,75.2,60.4,70.8,56.2,31.2,,21.2,17.8,27.4,22.2,25.4,23.8,62.4,27.2,33,30.4,19,26.8,16.2,17.6,29.2,17.6,18.8,34,43.2,64.2,29,69,53,33,38,46.4,61.6,43,70
2009,34.4,47,45.6,35.4,48.6,37,25.2,33.8,34,38,37,36.4,95.4,29.8,36,92.8,50.2,81.4,73,85.8,52.2,61,32.8,68.8,,31.4,42.4,50.8,77.2,45,40.6,114.2,43.2,66,65.6,57.8,57,21.6,40.4,67.2,31.4,26.4,55.2,64.8,55,41,57.2,92.4,35.8,37,55,140.6,27.8,34.4
2010,44,30,42,36.4,56.6,56.6,31,38.2,33,38.2,49.6,40.4,76.4,38,36.8,55.4,74,62.8,42,35.2,62,49,34.8,41.6,,26.6,32.8,49.4,66.8,62.8,40.8,199.4,47.2,32,44.2,65.4,52.4,41,43,53.4,23,22.2,40,51.4,47,41,65.2,49.6,38.2,53,46.8,94.8,27.8,35
2011,87.2,37,115.6,33.2,46.4,38.2,38,66.2,65,50.4,43,56,59.6,82,74.2,128,77.2,76.8,89.8,153.2,75.4,112,121.2,63.2,31.4,39,65.2,33.4,69.8,78.8,48.4,84.8,65.2,50.8,53,114,39.2,33,70.8,53.6,30.8,20.2,40.6,27.6,58.4,28.2,57.2,52.8,31.2,35,51,57.8,51,40
2012,56,29,69,25.2,43,26.4,45.8,41.4,43,36.4,45,38,77.6,49.8,67.6,60,25.6,39.4,87.8,30.2,87,95,30.8,77.6,53.2,57.4,46.2,48.4,54.8,34.6,110.6,79.6,35.6,50.6,43.4,79.8,59.8,42.8,39.2,48.4,18.4,13.4,32,44.4,42.8,45.6,45.6,44.6,34.6,49,49.8,67.4,30,30
2013,38.4,9.6,57.6,38,53.4,38.6,47.2,56,43,39.4,53.4,36,62.4,46,47,80,24.4,34.6,58,41.8,69,51.2,30.4,36,61,38.8,44.4,23.6,58.2,43,44.2,100.4,32.2,32.8,36.2,37.4,24,28.8,38.4,50.8,28,26.6,30.8,70.6,66.8,27.4,52.2,56.4,31.8,60.4,52.2,96.6,36.6,21.8
2014,27,,27.8,,40.6,29.2,30.4,32.2,22,21.2,32.6,26.7,57,28.2,30,27,11.8,13.2,14.2,15,44.4,37,23.4,15.4,27,32.2,32.4,19.6,26,18.8,27.8,33.6,27.4,31.4,19.8,26.8,19.8,41,35.6,36.8,23.2,40.2,29.4,29.4,42.6,22.4,31.6,55,32.4,40,41.8,162.6,33.6,20.9
